State,Age,Gender,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","
What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"
What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ","
In general, do you think Americans should be more trusting of foreigners, or more suspicious of foreigners?",Do you agree or disagree with the following statement: People should not be so easily offended. (probe: strongly or somewhat?),"
Do you think that people should be free to express their political opinions in the workplace without getting fired?",Do you think the government should place tighter restrictions on who can buy a gun?,"On average, black people are less highly educated than other groups. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?",Do you believe Vladimir Putin when he said that he did not interfere with the 2016 presidential election?,"From what you have seen or heard, do you think Black Lives Matter is offensive?","
Do you think the government should place tighter restrictions on who can smoke marijuana?","
Do you think professional athetes should be allowed to sit or kneel during the national anthem as part of a political protest?",Do you think the government should place tighter restrictions on who can have access to pornography?,"Do you live in a city, suburb, or small town?","People from small towns tend to be less highly educated than people from big cities. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?","If Jesus were alive today, do you think he would support Donald Trump?"
OH,89,Female,65+,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,City,Don't Know/Refused,Don't Know/Refused
NY,76,Female,65+,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,No
TX,65,Male,65+,Not very Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,Yes,Lack of effort,Yes,No,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
FL,95,Female,65+,Strong Republican,Don't Know/Refused,High school or less,,White,,Strongly Approve,Don't Know/Refused,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,No,No,No,City,Don't Know/Refused,Yes
WV,35,Female,35-44,Strong Republican,Don't Know/Refused,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
IL,60,Female,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,No,Yes,No,Yes,City,Don't Know/Refused,Yes
CT,77,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Don't Know/Refused,Yes,Don't Know/Refused,Yes,Yes,Yes,No,No,Suburb,Don't Know/Refused,Don't Know/Refused
CT,80,Female,65+,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Yes,Yes,No,Don't Know/Refused,Suburb,Lack of effort,Don't Know/Refused
MI,50,Male,45-54,Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,No,Yes,Don't Know/Refused,Yes,Yes,Yes,No,Yes,Suburb,Don't Know/Refused,Don't Know/Refused
PA,52,Female,45-54,Strong Republican,Moderate,High school or less,,White,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,No,Yes,Circumstances beyond their control,No,Don't Know/Refused,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
SD,58,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,No,Yes,Small Town,Circumstances beyond their control,No
OH,58,Male,55-64,Strong Republican,Moderate,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,No,Small Town,Lack of effort,Yes
VA,70,Female,65+,Not very Strong Republican,Not Very Strong Conservative,High school or less,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,Yes,No,No,Yes,Suburb,Circumstances beyond their control,No
WI,62,Female,55-64,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Don't Know/Refused,Don't Know/Refused,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
SC,81,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Don't Know/Refused,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
OH,79,Female,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Don't Know/Refused,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
TX,67,Male,65+,Strong Republican,Don't Know/Refused,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,No,No,Yes,Small Town,Lack of effort,Don't Know/Refused
FL,72,Female,65+,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
OH,25,Female,25-34,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,No,Lack of effort,Don't Know/Refused,No,No,No,Yes,City,Lack of effort,No
FL,42,Female,35-44,Strong Republican,Strong Liberal,College degree,,White,,Strongly Approve,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
FL,47,Male,45-54,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Don't Know/Refused,Yes,Yes,Yes,No,Yes,City,Don't Know/Refused,Don't Know/Refused
DE,54,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
KS,50,Female,45-54,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No,Yes,City,Don't Know/Refused,Yes
CT,46,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Don't Know/Refused,Yes,No,No,Yes,No,Small Town,Don't Know/Refused,Don't Know/Refused
PA,50,Female,45-54,Strong Republican,Moderate,College degree,,White,,Strongly Disapprove,More suspicious,Strongly Disagree,Yes,Yes,Don't Know/Refused,No,Yes,Yes,Yes,Yes,Small Town,Don't Know/Refused,Yes
OH,48,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,No,Yes,No,No,Small Town,Lack of effort,Don't Know/Refused
MA,50,Female,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,No,Yes,City,Lack of effort,Yes
NC,47,Female,45-54,Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Disapprove,More trusting,Somewhat Agree,Yes,Yes,Lack of effort,Yes,Don't Know/Refused,No,No,No,Suburb,Lack of effort,No
FL,46,Male,45-54,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,No,No,Yes,City,Don't Know/Refused,Don't Know/Refused
NC,40,Female,35-44,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,Yes,Yes,Small Town,Don't Know/Refused,Yes
MD,77,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
PA,70,Female,65+,Strong Republican,Moderate,Some college,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,Yes,Lack of effort,Yes,No,Yes,No,Yes,Small Town,Lack of effort,Yes
CO,69,Female,65+,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Strongly Disapprove,More suspicious,Somewhat Agree,No,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,No
OH,60,Female,55-64,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
NE,64,Female,55-64,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,City,Circumstances beyond their control,Yes
CT,86,Male,65+,Strong Republican,Not very strong Liberal,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,No,No,No,No,No,Small Town,Circumstances beyond their control,Yes
IA,65,Male,65+,Strong Republican,Strong Conservative,Other,Trade school,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Don't Know/Refused,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
NJ,75,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,Yes,No,No,No,No,Suburb,Don't Know/Refused,Yes
FL,37,Female,35-44,Not very Strong Republican,Moderate,Graduate degree,,Latino,,Somewhat Approve,Don't Know/Refused,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,No,Yes,No,Suburb,Circumstances beyond their control,Yes
FL,32,Female,25-34,Not very Strong Republican,Moderate,Graduate degree,,Latino,,Neither Approve nor Disapprove,More trusting,Somewhat Disagree,No,Yes,Circumstances beyond their control,No,No,No,Yes,No,City,Circumstances beyond their control,No
NY,69,Female,65+,Not very Strong Republican,Moderate,High school or less,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,Yes,Yes,No,Yes,No,City,Don't Know/Refused,No
FL,53,Male,45-54,Strong Republican,Strong Conservative,College degree,,Black,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
FL,58,Male,55-64,Strong Republican,Strong Liberal,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Don't Know/Refused,Yes,Yes,No,No,Yes,Small Town,Don't Know/Refused,Yes
WV,54,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,Yes,No,Small Town,Circumstances beyond their control,No
NC,84,Male,65+,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,Don't Know/Refused,Somewhat Disagree,Yes,Yes,Lack of effort,No,Yes,No,No,No,Small Town,Circumstances beyond their control,No
IA,41,Male,35-44,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,Don't Know/Refused,No,No,Don't Know/Refused,Yes,Suburb,Don't Know/Refused,Yes
NC,58,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,Don't Know/Refused,Yes,Lack of effort,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,Suburb,Lack of effort,Yes
OK,76,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,Yes,No,No,No,Don't Know/Refused,Small Town,Circumstances beyond their control,Yes
SD,54,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,No,Small Town,Lack of effort,Yes
MA,75,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,No
NE,66,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Don't Know/Refused,Yes,Don't Know/Refused,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
FL,59,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
ID,36,Male,35-44,Strong Republican,Moderate,Don't Know/Refused,,White,,Strongly Approve,More trusting,Strongly Agree,No,No,Lack of effort,Don't Know/Refused,Yes,Don't Know/Refused,No,Don't Know/Refused,Small Town,Circumstances beyond their control,Yes
CO,80,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Disagree,Yes,No,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
ID,58,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,No,Yes,Yes,City,Circumstances beyond their control,Yes
AZ,42,Male,35-44,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Neither Approve nor Disapprove,More suspicious,Strongly Agree,No,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No,Don't Know/Refused,Yes,Suburb,Don't Know/Refused,No
OR,61,Male,55-64,Not very Strong Republican,Don't Know/Refused,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,City,Circumstances beyond their control,No
CA,57,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
NM,59,Female,55-64,Strong Republican,Strong Conservative,High school or less,,Latino,,Strongly Approve,More suspicious,Strongly Disagree,No,Yes,Don't Know/Refused,Yes,Yes,No,No,No,Don't Know/Refused,Don't Know/Refused,Yes
LA,71,Female,65+,Not very Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,Yes,Small Town,Lack of effort,Yes
LA,34,Male,25-34,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,Yes,Yes,No,Yes,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
NY,67,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,No,Lack of effort,No,Yes,No,No,No,Small Town,Lack of effort,Yes
NY,53,Don't Know/Refused,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,Yes,No,Small Town,Circumstances beyond their control,No
PA,66,Female,65+,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,Yes,Small Town,Lack of effort,Yes
LA,40,Male,35-44,Not very Strong Republican,Don't Know/Refused,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,No,Yes,Suburb,Lack of effort,Yes
NJ,70,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Don't Know/Refused,No,Lack of effort,No,Yes,Yes,No,Don't Know/Refused,Small Town,Don't Know/Refused,Yes
FL,68,Female,65+,Strong Republican,Strong Conservative,Some college,,Other,American Indian,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
OK,59,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,Yes,No,City,Circumstances beyond their control,Yes
NY,52,Male,45-54,Not very Strong Republican,Not Very Strong Conservative,Some college,,White,,Don't Know/Refused,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,No
PA,32,Male,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,Yes,Yes,Small Town,Lack of effort,Yes
NE,52,Male,45-54,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,No,No,Yes,Yes,City,Circumstances beyond their control,Yes
MD,37,Female,35-44,Strong Republican,Moderate,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,Yes,Lack of effort,No,Yes,No,No,No,Suburb,Don't Know/Refused,Yes
FL,69,Female,65+,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,No,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
FL,53,Male,45-54,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
NC,76,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Don't Know/Refused,No,No,Yes,City,Don't Know/Refused,Yes
PA,70,Male,65+,Strong Republican,Moderate,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,Don't Know/Refused,No,Yes,No,Yes,City,Circumstances beyond their control,Yes
FL,73,Female,65+,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,Yes,City,Circumstances beyond their control,No
NJ,59,Male,55-64,Strong Republican,Strong Liberal,Some college,,White,,Don't Know/Refused,More suspicious,Strongly Disagree,Yes,No,Circumstances beyond their control,No,No,No,Yes,No,Small Town,Circumstances beyond their control,No
NY,70,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Don't Know/Refused,Yes
OH,66,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Suburb,Don't Know/Refused,Don't Know/Refused
PA,61,Female,55-64,Not very Strong Republican,Not Very Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,No,No,Yes,Suburb,Circumstances beyond their control,Yes
KS,67,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,City,Circumstances beyond their control,Yes
KS,60,Female,55-64,Not very Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
NY,60,Female,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Lack of effort,No,Yes,No,No,Yes,City,Don't Know/Refused,Yes
FL,59,Female,55-64,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No,No,Don't Know/Refused,Suburb,Circumstances beyond their control,Don't Know/Refused
FL,62,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Lack of effort,Don't Know/Refused,No,Yes,No,Yes,Suburb,Lack of effort,Don't Know/Refused
NC,56,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,No,Yes,No,No,No,Small Town,Lack of effort,Yes
,55,Female,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Don't Know/Refused,No,Lack of effort,Don't Know/Refused,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
PA,68,Male,65+,Not very Strong Republican,Moderate,Graduate degree,,White,,Strongly Disapprove,More suspicious,Strongly Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No,Yes,Don't Know/Refused,City,Don't Know/Refused,No
MD,44,Male,35-44,Not very Strong Republican,Not Very Strong Conservative,Some college,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,No,Yes,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
LA,53,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,No,Yes,Lack of effort,Yes,Don't Know/Refused,Yes,No,Yes,Small Town,Lack of effort,Yes
FL,54,Male,45-54,Strong Republican,Moderate,Other,MILITARY,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Don't Know/Refused,Don't Know/Refused,Yes,Don't Know/Refused,No,Don't Know/Refused,Suburb,Circumstances beyond their control,Yes
FL,60,Male,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Yes
FL,54,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,City,Circumstances beyond their control,Yes
NC,57,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
FL,53,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,Yes,Don't Know/Refused,Yes,Yes,No,Yes,Yes,Small Town,Circumstances beyond their control,Yes
FL,54,Male,45-54,Not very Strong Republican,Not Very Strong Conservative,Some college,,White,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Don't Know/Refused,Yes,Yes,Suburb,Don't Know/Refused,Don't Know/Refused
OH,59,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,No,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,Don't Know/Refused
FL,60,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,Yes,Yes,No,No,No,Suburb,Lack of effort,Yes
KS,57,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Don't Know/Refused,Yes,No,No,City,Don't Know/Refused,Yes
FL,64,Female,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,No,No,City,Don't Know/Refused,Don't Know/Refused
LA,41,Male,35-44,Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,No
FL,57,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Lack of effort,Yes
FL,64,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
NC,63,Female,55-64,Not very Strong Republican,Strong Liberal,College degree,,White,,Neither Approve nor Disapprove,More suspicious,Strongly Disagree,Yes,Yes,Circumstances beyond their control,No,No,No,No,No,Small Town,Circumstances beyond their control,No
NJ,56,Female,55-64,Not very Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
FL,42,Female,35-44,Not very Strong Republican,Moderate,College degree,,White,,Don't Know/Refused,Don't Know/Refused,Strongly Agree,Don't Know/Refused,Yes,Circumstances beyond their control,Don't Know/Refused,No,No,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
OH,32,Female,25-34,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,No,No,Yes,Yes,City,Circumstances beyond their control,Yes
NC,46,Female,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,No,Yes,Lack of effort,No,Yes,Yes,No,Yes,City,Lack of effort,Yes
OK,44,Female,35-44,Not very Strong Republican,Moderate,Graduate degree,,Other,Native American,Neither Approve nor Disapprove,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,Yes,No,City,Lack of effort,No
MD,53,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Don't Know/Refused,Yes,Don't Know/Refused,Yes,Don't Know/Refused,Yes,Small Town,Don't Know/Refused,Yes
AZ,53,Male,45-54,Not very Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,No,City,Circumstances beyond their control,Yes
AZ,23,Male,18-24,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,No,City,Lack of effort,Yes
CO,52,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Don't Know/Refused,No,Yes,Yes,Small Town,Circumstances beyond their control,Yes
CO,51,Female,45-54,Strong Republican,Moderate,Graduate degree,,White,,Don't Know/Refused,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,No,No,Yes,Suburb,Don't Know/Refused,Yes
UT,64,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Don't Know/Refused,Yes,Yes,No,No,Yes,Small Town,Don't Know/Refused,Yes
ID,50,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Yes,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,City,Don't Know/Refused,Don't Know/Refused
