Gender,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Other,"
What is your race? (white, black, latino, asian, other)",Other,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Would you consider yourself pro-life or pro-choice?,"Are the people you interact with on a day-to-day basis, both in person and on social media, mostly conservatives, a mix of conservatives and liberals, or mostly liberals?",What's the first word that comes to your mind when you think of Donald Trump?,Other,Do you support or oppose Trump's plan to build a wall between Mexico and the United States?,"A number of women have accused Donald Trump of sexual misconduct. How likely is it that these allegations are true: very likely, somewhat likely, or not at all likely?","Has unemployment gone up, gone down, or stayed the same since Donald Trump became president?",True or false: Donald Trump has always publically opposed abortion.,How many times has Donald Trump been married?,Would you describe Donald Trump as a humble person?,"Donald Trump is 6 feet, 3 inches tall. If you had to guess, how much do you think he weighs?","According to reports of his recent medical exam, Donald Trump weighs 239 pounds. Do you think that number is too high, too low, or accurate?","If you were a Mexican trying to illegally enter the United States, do you think you could probably find a way to get past Trump's border wall?",Do you plan on voting for Donald Trump in 2020?,Q21
Female,54,45-54,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,President,,Support,Not at all likely,Gone down,TRUE,999,No,200,Accurate,Yes,Yes,No
Female,65,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Idiot,,Oppose,Very Likely,Gone up,FALSE,3,No,999,DK/REF,Yes,No,
Female,35,35-44,Republican,Moderate,Some college,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Leader,,DK/REF,DK/REF,Gone down,FALSE,3,No,220,Accurate,Yes,Yes,No
Female,62,55-64,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Liar,,Oppose,Very Likely,Stayed the same,FALSE,3,No,285,Too low,Yes,No,
Male,37,35-44,Republican,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Support,Somewhat Likely,Gone down,FALSE,2,No,240,Accurate,Yes,DK/REF,
Male,45,45-54,Independent,Moderate,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Businessman,,Support,Not at all likely,Gone up,FALSE,5,No,230,Accurate,No,Yes,No
Male,66,65+,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Con man,,Oppose,Very Likely,Stayed the same,FALSE,3,No,230,Accurate,Yes,No,
Male,31,25-34,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Con man,,Oppose,Very Likely,Gone down,FALSE,3,No,250,Too low,Yes,No,
Male,29,25-34,Independent,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Pro-Choice,DK/REF,President,,DK/REF,Somewhat Likely,Gone down,FALSE,999,No,285,Accurate,Yes,DK/REF,
Male,76,65+,Independent,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,DK/REF,Wonderful,,Support,Not at all likely,Gone down,FALSE,999,No,999,DK/REF,No,DK/REF,
Female,69,65+,Republican,Conservative,College degree,,Black,,Strongly Approve,Pro-life,Mostly Conservatives,Caring,,Support,Somewhat Likely,Gone down,FALSE,3,No,239,Accurate,Yes,Yes,DK/REF
Female,39,35-44,Independent,Moderate,College degree,,White,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,Orange,,Oppose,Very Likely,Gone down,TRUE,3,No,270,Too low,Yes,No,
Male,69,65+,Republican,Moderate,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Positive,,Support,Somewhat Likely,Gone up,DK/REF,2,No,225,Accurate,Yes,Yes,No
Male,33,25-34,Independent,Moderate,Graduate degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Different,,Support,Not at all likely,Stayed the same,FALSE,3,No,210,Accurate,Yes,Yes,No
Male,70,65+,Democrat,Liberal,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Racist,,Oppose,Very Likely,Gone down,FALSE,3,No,280,Too low,Yes,No,
Male,65,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Arrogant,,Oppose,Very Likely,Stayed the same,FALSE,3,No,255,Too low,Yes,No,
Female,66,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Destructive,,Oppose,Very Likely,Gone down,FALSE,3,No,250,Too low,No,No,
Male,19,18-24,Republican,Moderate,Some college,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Rush,,Oppose,Somewhat Likely,Gone down,FALSE,3,No,230,Accurate,Yes,No,
Female,47,45-54,Democrat,Moderate,Graduate degree,,Other,Arab American,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Crazy,,Oppose,Very Likely,DK/REF,DK/REF,3,No,180,Too high,No,No,
Male,45,45-54,Republican,Conservative,High school or less,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Strong,,Support,Somewhat Likely,Gone down,DK/REF,3,No,240,Accurate,Yes,Yes,No
Male,33,25-34,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Twitter,,Oppose,Somewhat Likely,Gone down,FALSE,3,No,270,Too low,Yes,No,
Male,37,35-44,Independent,Conservative,Graduate degree,,Black,,DK/REF,Pro-life,Mix of conservatives and liberals,No comment,,DK/REF,DK/REF,Gone down,DK/REF,999,No,999,Accurate,No,No,
Female,38,35-44,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,Pro-life,DK/REF,Idiot,,Oppose,Very Likely,Gone down,TRUE,999,No,200,DK/REF,Yes,No,
Male,30,25-34,Independent,Moderate,Some college,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Successful,,Support,Somewhat Likely,Gone down,DK/REF,999,No,220,Accurate,No,No,
Male,46,45-54,Independent,Conservative,Some college,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,President,,Support,DK/REF,DK/REF,DK/REF,1,No,999,Accurate,Yes,No,
Male,40,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,President,,Support,Somewhat Likely,Gone down,TRUE,3,No,240,Accurate,No,Yes,No
Male,27,25-34,Independent,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Brash,,Support,DK/REF,Gone down,FALSE,4,No,240,Accurate,Yes,Yes,No
Female,72,65+,Democrat,Conservative,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Strong-willed,,Support,Somewhat Likely,Gone down,FALSE,3,No,210,Too high,Yes,DK/REF,
Male,32,25-34,Independent,Moderate,Graduate degree,,Latino,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,Arrogant,,Support,Somewhat Likely,Gone up,FALSE,4,No,239,Accurate,Yes,Yes,No
Female,67,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Shithole,,Oppose,Very Likely,Gone down,TRUE,3,No,280,Too low,Yes,No,
Female,50,45-54,Democrat,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Lying,,Oppose,Very Likely,Stayed the same,TRUE,2,No,230,Accurate,Yes,No,
Male,66,65+,Independent,Conservative,College degree,,DK/REF,,Strongly Approve,Pro-life,Mix of conservatives and liberals,He is honest and pro-life. He keeps his commitments.,,Support,DK/REF,DK/REF,FALSE,999,DK/REF,999,DK/REF,DK/REF,Yes,Yes
Male,62,55-64,Republican,Conservative,College degree,,DK/REF,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Strong,,Support,Not at all likely,Gone down,DK/REF,999,No,230,Accurate,Yes,Yes,DK/REF
Male,31,25-34,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Turd,,Oppose,Somewhat Likely,Gone down,FALSE,3,No,240,Accurate,Yes,No,
Male,32,25-34,Independent,DK/REF,Graduate degree,,White,,Strongly Disapprove,DK/REF,Mix of conservatives and liberals,Arrogant,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,240,Accurate,No,No,
Female,32,25-34,Independent,DK/REF,Some college,,Latino,,Strongly Approve,Pro-life,Mix of conservatives and liberals,,DK/REF,Support,Not at all likely,Gone up,DK/REF,999,No,999,DK/REF,DK/REF,Yes,DK/REF
Female,54,45-54,Independent,DK/REF,Graduate degree,,White,,Somewhat Disapprove,Pro-Choice,Mostly Liberals,Stupid,,DK/REF,Somewhat Likely,DK/REF,DK/REF,999,DK/REF,220,Accurate,Yes,DK/REF,
Male,35,35-44,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,He is a jerk.,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,999,Accurate,DK/REF,No,
Female,62,55-64,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Con man,,Oppose,Very Likely,Stayed the same,TRUE,3,No,250,Too high,Yes,No,
Female,60,55-64,Republican,Liberal,High school or less,,White,,DK/REF,Pro-Choice,Mix of conservatives and liberals,Rich,,DK/REF,Somewhat Likely,Stayed the same,DK/REF,2,No,250,Too low,DK/REF,DK/REF,
Male,24,18-24,Independent,Moderate,High school or less,,White,,Neither approve nor disapprove,DK/REF,Mix of conservatives and liberals,That would be orange. He looks like an orange.,,Support,Somewhat Likely,Gone down,DK/REF,2,No,200,Accurate,Yes,No,
Female,26,25-34,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Arrogant,,Oppose,Very Likely,Gone down,FALSE,2,No,275,Accurate,Yes,No,
Female,74,65+,Independent,Liberal,College degree,,White,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,His hair,,Oppose,Very Likely,Gone down,TRUE,2,No,200,Accurate,Yes,DK/REF,
Male,76,65+,Democrat,Moderate,College degree,,Black,,Somewhat Disapprove,Pro-Choice,Mostly Liberals,President,,Oppose,Somewhat Likely,Gone down,FALSE,2,No,240,Accurate,Yes,No,
Male,49,45-54,Democrat,Conservative,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,President,,Support,Somewhat Likely,Gone down,FALSE,3,No,220,Accurate,Yes,Yes,Yes
Other,65,65+,DK/REF,Conservative,College degree,,DK/REF,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,America,,Support,Not at all likely,Gone down,FALSE,2,Yes,999,Too low,No,Yes,Yes
Female,80,65+,Democrat,Liberal,Graduate degree,,White,,DK/REF,Pro-Choice,Mostly Liberals,Stupid,,Oppose,Very Likely,Gone down,TRUE,2,No,210,Accurate,Yes,No,
Male,62,55-64,DK/REF,DK/REF,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Criminal,,Oppose,Very Likely,DK/REF,DK/REF,999,No,220,Accurate,Yes,No,
Female,56,55-64,Republican,Conservative,Some college,,Other,American Indian,Strongly Approve,Pro-life,Mix of conservatives and liberals,Arrogant,,Support,Not at all likely,Gone down,DK/REF,2,Yes,210,Accurate,Yes,Yes,No
Female,77,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Dishonest,,Oppose,Very Likely,Gone down,TRUE,2,Yes,180,Too low,No,No,
Female,77,65+,Independent,DK/REF,Some college,,White,,Strongly Approve,Pro-life,Mostly Liberals,Very different person,,Support,Somewhat Likely,Stayed the same,DK/REF,3,DK/REF,200,Accurate,No,Yes,No
Male,80,65+,Democrat,Liberal,High school or less,,DK/REF,,Strongly Disapprove,DK/REF,DK/REF,I say neutral on that.,,DK/REF,DK/REF,DK/REF,DK/REF,999,DK/REF,999,DK/REF,DK/REF,DK/REF,
Female,22,18-24,Independent,Moderate,College degree,,White,,Somewhat Disapprove,Pro-life,Mostly Liberals,Orange,,Oppose,Somewhat Likely,DK/REF,FALSE,4,No,300,Too low,No,No,
Male,47,45-54,Republican,Conservative,Some college,,White,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,President,,DK/REF,Somewhat Likely,DK/REF,DK/REF,2,No,240,Accurate,Yes,DK/REF,
Male,65,65+,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Fair,,Support,Very Likely,Gone down,TRUE,2,No,250,Accurate,Yes,Yes,No
Male,70,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Wrong,,Oppose,Very Likely,Gone down,FALSE,3,No,240,Accurate,Yes,No,
Male,65,65+,Democrat,Moderate,Some college,,White,,DK/REF,Pro-Choice,Mostly Conservatives,Con man,,Oppose,Very Likely,Gone down,FALSE,2,No,999,DK/REF,Yes,No,
Female,63,55-64,Democrat,Liberal,Graduate degree,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Evil,,Oppose,Very Likely,Stayed the same,FALSE,3,No,230,Accurate,Yes,No,
Female,41,35-44,Independent,Moderate,College degree,,White,,Strongly Disapprove,DK/REF,Mix of conservatives and liberals,Rude,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,240,Accurate,No,No,
Male,52,45-54,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Incompetent,,Oppose,Very Likely,Gone down,FALSE,3,No,300,Too low,Yes,No,
Female,64,55-64,Independent,Conservative,Some college,,White,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,President,,DK/REF,DK/REF,Gone down,DK/REF,999,DK/REF,999,DK/REF,Yes,DK/REF,
Male,39,35-44,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,President,,Support,Not at all likely,Gone down,TRUE,3,No,220,Accurate,Yes,Yes,No
Female,65,65+,Independent,Liberal,High school or less,,White,,Neither approve nor disapprove,Pro-life,Mostly Liberals,Unpredictable,,Oppose,Very Likely,Gone down,TRUE,3,No,220,Accurate,No,DK/REF,
Male,78,65+,Independent,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Liberals,Brash,,Support,Somewhat Likely,Gone down,TRUE,3,No,260,Accurate,Yes,Yes,Yes
Female,75,65+,Republican,Liberal,College degree,,White,,Strongly Approve,Pro-Choice,DK/REF,Great,,Support,Somewhat Likely,Gone up,TRUE,3,No,220,Accurate,No,Yes,No
Male,22,18-24,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-Choice,Mostly Conservatives,Wealthy,,Support,Somewhat Likely,Gone down,TRUE,2,No,260,Accurate,Yes,Yes,No
Male,47,45-54,Republican,Conservative,Some college,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Businessman,,Support,Not at all likely,Gone up,FALSE,2,No,205,Too high,Yes,Yes,No
Male,60,55-64,Democrat,Moderate,High school or less,,White,,Neither approve nor disapprove,Pro-Choice,Mostly Conservatives,"USSF, the football league",,Oppose,Somewhat Likely,Stayed the same,TRUE,2,No,195,Accurate,Yes,No,
Male,23,18-24,DK/REF,DK/REF,High school or less,,Black,,Strongly Disapprove,DK/REF,DK/REF,Not needed,,Oppose,Very Likely,Stayed the same,TRUE,999,No,250,Accurate,No,No,
Male,35,35-44,Independent,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Pro-Choice,Mostly Liberals,President,,Oppose,DK/REF,DK/REF,DK/REF,999,No,200,Accurate,No,No,
Female,32,25-34,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Extreme,,Oppose,DK/REF,Stayed the same,FALSE,3,No,275,Too low,Yes,DK/REF,
Male,49,45-54,Independent,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Liar,,Oppose,Very Likely,Stayed the same,FALSE,3,No,250,Too low,Yes,No,
Female,49,45-54,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Incompetent,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,280,Too low,DK/REF,No,
Female,19,18-24,Democrat,Conservative,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,Gone down,TRUE,3,No,250,Accurate,Yes,No,
Female,53,45-54,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Truthful,,Support,Not at all likely,Gone up,TRUE,3,No,290,Accurate,No,Yes,Yes
Female,75,65+,Independent,Liberal,Graduate degree,,White,,Somewhat Disapprove,Pro-Choice,Mostly Conservatives,Narcissistic,,Oppose,Very Likely,Gone down,TRUE,4,No,300,Too low,Yes,No,
Male,53,45-54,Independent,Conservative,Some college,,Latino,,Strongly Approve,Pro-life,Mix of conservatives and liberals,President,,Oppose,Not at all likely,Gone up,DK/REF,3,No,210,Accurate,Yes,Yes,No
Male,33,25-34,Republican,Moderate,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,American,,Support,DK/REF,Gone down,DK/REF,3,Yes,270,Accurate,Yes,Yes,Yes
Male,69,65+,Independent,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Successful,,Support,Somewhat Likely,Gone down,FALSE,2,No,230,Accurate,Yes,Yes,No
Female,26,25-34,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Great President,,Support,Not at all likely,Gone down,TRUE,3,Yes,210,Accurate,No,Yes,No
Female,31,25-34,Independent,Moderate,Some college,,Black,,Neither approve nor disapprove,Pro-Choice,Mostly Liberals,Opinionated,,Oppose,Very Likely,Stayed the same,FALSE,999,No,175,Too high,No,No,
Female,32,25-34,Democrat,Moderate,Some college,,Latino,,Neither approve nor disapprove,Pro-Choice,Mostly Liberals,A joke,,Oppose,Somewhat Likely,Stayed the same,TRUE,2,No,205,Accurate,No,No,
Male,70,65+,DK/REF,Conservative,DK/REF,,Black,,Somewhat Disapprove,Pro-Choice,DK/REF,Trouble,,DK/REF,Not at all likely,DK/REF,FALSE,999,No,200,Too high,Yes,No,
Female,58,55-64,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-life,DK/REF,Great,,Support,Not at all likely,Gone down,TRUE,3,Yes,240,Accurate,No,Yes,No
Female,50,45-54,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,Gone down,FALSE,3,No,175,Accurate,Yes,No,
Male,59,55-64,Republican,Moderate,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,President,,Support,Not at all likely,Gone down,TRUE,999,Yes,230,Accurate,Yes,Yes,Yes
Female,58,55-64,Independent,Moderate,High school or less,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,Not honest,,Oppose,Very Likely,Stayed the same,TRUE,2,No,200,Accurate,Yes,No,
Male,94,65+,DK/REF,DK/REF,High school or less,,DK/REF,,DK/REF,DK/REF,DK/REF,Carrot,,Support,Not at all likely,DK/REF,DK/REF,999,No,200,DK/REF,Yes,No,
Male,69,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Clueless,,Oppose,Very Likely,Stayed the same,FALSE,2,No,260,Too low,Yes,No,
Male,56,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-Choice,Mostly Conservatives,Positive,,Support,Not at all likely,Stayed the same,DK/REF,999,Yes,200,Accurate,Yes,Yes,Yes
Female,64,55-64,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Arrogant,,Oppose,Somewhat Likely,Gone up,TRUE,2,No,210,Accurate,Yes,DK/REF,
Female,88,65+,Republican,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,DK/REF,Determined,,Support,Somewhat Likely,Gone up,TRUE,3,No,225,Accurate,DK/REF,Yes,No
Female,58,55-64,Independent,DK/REF,High school or less,,White,,Somewhat Approve,DK/REF,Mix of conservatives and liberals,President,,DK/REF,Not at all likely,DK/REF,FALSE,999,No,230,Too high,No,Yes,No
Male,60,55-64,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Liar,,Oppose,Very Likely,Gone down,FALSE,3,No,235,Accurate,Yes,No,
Female,69,65+,DK/REF,Moderate,High school or less,,White,,Neither approve nor disapprove,Pro-Choice,DK/REF,President,,DK/REF,DK/REF,Gone down,DK/REF,3,Yes,999,DK/REF,DK/REF,DK/REF,
Male,57,55-64,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,,DK/REF,Oppose,Very Likely,Stayed the same,FALSE,3,No,320,Too low,Yes,No,
Male,63,55-64,Independent,Conservative,Some college,,Black,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,President,,Support,Somewhat Likely,Gone down,FALSE,2,No,250,Accurate,Yes,No,
Female,68,65+,Republican,Conservative,Some college,,White,,Neither approve nor disapprove,Pro-life,Mostly Liberals,President,,Support,Somewhat Likely,DK/REF,DK/REF,3,No,240,Accurate,Yes,DK/REF,
Male,64,55-64,Republican,Moderate,College degree,,White,,Strongly Approve,DK/REF,Mix of conservatives and liberals,President,,Support,Not at all likely,Gone down,FALSE,3,No,260,Accurate,Yes,DK/REF,
Female,65,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Stupid,,DK/REF,Very Likely,Gone down,FALSE,3,No,239,Too high,Yes,No,
Female,56,55-64,Republican,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,Impolite,,Oppose,Somewhat Likely,Gone down,FALSE,3,No,200,Too high,Yes,No,
Female,49,45-54,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Stern,,Support,Very Likely,DK/REF,DK/REF,3,No,250,Accurate,Yes,Yes,No
Female,70,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,Pro-life,Mostly Liberals,Idiot,,Oppose,Very Likely,Gone up,FALSE,3,No,250,Too low,Yes,No,
Female,58,55-64,Democrat,Conservative,Some college,,Black,,Neither approve nor disapprove,Pro-Choice,Mostly Conservatives,Crazy,,Oppose,Somewhat Likely,Gone down,DK/REF,999,No,250,Accurate,Yes,No,
Female,77,65+,Independent,Conservative,High school or less,,White,,Strongly Disapprove,Pro-life,DK/REF,Dictator,,Oppose,Somewhat Likely,Stayed the same,TRUE,3,No,238,Too high,Yes,No,
Female,86,65+,Republican,Moderate,High school or less,,White,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,Egotistical,,Oppose,Somewhat Likely,Stayed the same,DK/REF,3,No,250,Too low,Yes,No,
Female,75,65+,Independent,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Talker,,Support,DK/REF,Gone down,FALSE,3,No,240,Accurate,DK/REF,Yes,DK/REF
Male,70,65+,Democrat,Liberal,Some college,,White,,Strongly Disapprove,DK/REF,Mix of conservatives and liberals,Vomit,,Oppose,Very Likely,Gone down,DK/REF,3,No,260,Too low,Yes,No,
Male,35,35-44,Independent,Moderate,Graduate degree,,Other,Native American,Strongly Approve,Pro-life,Mix of conservatives and liberals,Economy,,Support,Not at all likely,Gone down,FALSE,3,Yes,239,Accurate,Yes,Yes,Yes
Female,68,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unqualified,,Support,Very Likely,Gone down,TRUE,3,No,220,Too high,Yes,No,
Female,80,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Wonderful,,Support,Not at all likely,Gone up,DK/REF,3,Yes,190,Accurate,No,Yes,DK/REF
Female,83,65+,Democrat,Liberal,Graduate degree,,White,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,Inane,,Oppose,Very Likely,Gone up,FALSE,4,No,170,Accurate,Yes,No,
Female,78,65+,DK/REF,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,Big man,,Support,DK/REF,Stayed the same,TRUE,2,Yes,280,Accurate,No,DK/REF,
Male,73,65+,Democrat,Moderate,High school or less,,Black,,Somewhat Disapprove,DK/REF,Mix of conservatives and liberals,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,999,No,999,DK/REF,DK/REF,No,
Female,78,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Finances,,Support,Not at all likely,Gone down,FALSE,3,No,225,Too high,No,Yes,DK/REF
Male,79,65+,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Liberals,Competent,,Support,Not at all likely,Gone down,FALSE,3,No,525,Accurate,No,Yes,DK/REF
Male,67,65+,Republican,Moderate,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Excellent leader,,Support,Not at all likely,Gone up,TRUE,2,No,150,Accurate,No,Yes,No
Male,78,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Dangerous,,Oppose,Very Likely,Gone down,FALSE,3,No,235,Accurate,No,No,
Male,72,65+,Independent,Moderate,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Misunderstood,,DK/REF,Not at all likely,Gone down,DK/REF,3,No,20,DK/REF,DK/REF,DK/REF,
Female,70,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Insecure,,Oppose,Very Likely,Gone up,FALSE,3,No,200,Too low,Yes,No,
Female,47,45-54,Independent,Conservative,Some college,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,President,,DK/REF,Somewhat Likely,DK/REF,DK/REF,999,No,200,Accurate,Yes,DK/REF,
Male,66,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Haughty,,Oppose,Very Likely,Gone down,FALSE,3,No,310,Too low,Yes,No,
Male,38,35-44,Republican,Conservative,College degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Over the top,,Support,Not at all likely,Gone up,DK/REF,5,No,275,Accurate,DK/REF,Yes,No
Male,22,18-24,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Bosom,,Oppose,DK/REF,DK/REF,FALSE,2,No,310,Accurate,DK/REF,No,
Male,59,55-64,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Bold,,Support,Not at all likely,Gone up,DK/REF,3,No,999,DK/REF,No,Yes,DK/REF
Female,74,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Businessman,,Support,Not at all likely,Gone up,DK/REF,3,DK/REF,999,Accurate,No,Yes,DK/REF
Male,70,65+,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Incompetent,,Oppose,Somewhat Likely,Gone down,DK/REF,2,No,230,Accurate,Yes,No,
Male,72,65+,Independent,Liberal,Some college,,White,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,President,,Support,Somewhat Likely,Gone up,FALSE,3,No,230,Accurate,Yes,Yes,No
Male,35,35-44,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Lier,,Oppose,Very Likely,Stayed the same,FALSE,4,No,300,Too low,No,No,
