What gender do you identify with? ,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ",What is your highest level of education? ,Q5OTH1,What is your race?,,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ",Would you support a law that would limit the size of soft drinks and other sugary beverages served in restaurants to no more than 16 ounces?,Do you believe that prostitution should be against the law? ,Do you believe that it should be against the law to smoke marijuana for recreation?,Do you believe the sale of human organs for transplants should be against the law?,Would you consider yourself a religious person?,Do you think it should be against the law to take pain killers or other opiates without a prescription?,Would you consider yourself pro-life or pro-choice?,"Do you generally disapprove of people who pursue casual sex, hookups, or one-night-stands?","Based on your general impressions, would you say that people who smoke marijuana tend to have more casual sex than people who abstain from smoking marijuana?","If abortion became strictly banned, do you think women in general would become more willing to have casual sex, less willing to have casual sex, or behave no differently?",Do you agree or disagree with the following statement: A woman should have the right to do what she wants with her own body.,Do you agree or disagree with this next statement: Abortion is morally wrong.,And do you agree or disagree with this next statement: Sex without love is okay. ,Do you believe that an elected official who has committed sexual misconduct in their personal life can still behave ethically and fulfill their duties while in office?
Male,69,65+,Independent,Conservative,Some college,,DK/REF,,Strongly Approve,No,Yes,Yes,DK/REF,"Yes, very religious",Yes,Pro-life,DK/REF,No,Behave no differently,DK/REF,Strongly Agree,DK/REF,No
Female,74,65+,Independent,Moderate,Some college,,White,,Strongly Approve,No,No,No,DK/REF,"Yes, somewhat religious",No,Pro-Choice,DK/REF,Yes,Behave no differently,DK/REF,Strongly Agree,DK/REF,Yes
Male,30,25-34,Independent,Conservative,High school or less,,White,,Somewhat Approve,Yes,Yes,Yes,No,"Yes, somewhat religious",Yes,Pro-life,Yes,No,More Willing,Strongly Agree,Strongly Agree,Strongly Disagree,Yes
Male,38,35-44,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,Yes,Yes,Yes,Yes,No,Yes,Pro-Choice,No,Yes,Behave no differently,Strongly Agree,Somewhat Agree,Strongly Agree,Yes
Male,19,18-24,Independent,Liberal,High school or less,,Latino,,Neither approve nor disapprove,No,Yes,No,Yes,No,Yes,DK/REF,No,No,Behave no differently,Strongly Agree,DK/REF,Strongly Agree,No
Male,41,35-44,Republican,Conservative,Some college,,White,,Strongly Approve,No,Yes,No,No,No,Yes,Pro-life,Yes,No,More Willing,Somewhat Agree,Strongly Agree,Strongly Disagree,No
Female,61,55-64,DK/REF,Conservative,High school or less,,White,,Strongly Disapprove,Yes,Yes,Yes,No,"Yes, somewhat religious",Yes,Pro-life,Yes,Yes,Less Willing,Strongly Agree,Somewhat Disagree,Strongly Disagree,No
Female,57,55-64,Independent,Moderate,Graduate degree,,DK/REF,,Strongly Approve,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,No,DK/REF,DK/REF,Somewhat Agree,Strongly Agree,Somewhat Disagree,Yes
Male,57,55-64,Independent,Conservative,High school or less,,White,,Strongly Approve,No,Yes,No,Yes,No,No,Pro-life,No,DK/REF,Less Willing,Somewhat Agree,Strongly Agree,Strongly Agree,No
Male,48,45-54,Republican,Moderate,College degree,,Asian,,Somewhat Approve,No,Yes,DK/REF,Yes,No,Yes,Pro-life,No,DK/REF,Less Willing,Strongly Agree,Somewhat Agree,Somewhat Agree,Yes
Male,38,35-44,Independent,Liberal,College degree,,Black,,Somewhat Disapprove,No,No,No,Yes,"Yes, very religious",No,Pro-life,No,No,Behave no differently,Strongly Disagree,Strongly Agree,Somewhat Agree,Yes
Male,18,18-24,Independent,Moderate,Some college,,Black,,Strongly Disapprove,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Less Willing,Strongly Agree,Somewhat Agree,Somewhat Agree,No
Male,30,25-34,DK/REF,DK/REF,College degree,,DK/REF,,DK/REF,No,DK/REF,DK/REF,Yes,DK/REF,Yes,Pro-life,No,No,DK/REF,Somewhat Agree,Strongly Agree,DK/REF,DK/REF
Female,20,18-24,Democrat,Moderate,Some college,,Black,,Neither approve nor disapprove,Yes,No,No,No,"Yes, very religious",Yes,Pro-life,No,DK/REF,Less Willing,Somewhat Agree,Strongly Agree,Somewhat Agree,Yes
Male,29,25-34,Independent,Liberal,College degree,,White,,Somewhat Disapprove,No,Yes,No,Yes,No,Yes,Pro-life,No,No,Less Willing,Strongly Agree,Somewhat Disagree,Somewhat Disagree,No
Male,30,25-34,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Yes,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,Yes
Female,70,65+,DK/REF,DK/REF,High school or less,,White,,DK/REF,DK/REF,Yes,Yes,DK/REF,"Yes, somewhat religious",Yes,Pro-Choice,Yes,DK/REF,DK/REF,Strongly Agree,DK/REF,Strongly Disagree,DK/REF
Female,41,35-44,Democrat,Conservative,College degree,,Black,,Strongly Disapprove,No,Yes,No,Yes,"Yes, very religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Agree,Somewhat Agree,Yes
Male,68,65+,Republican,Conservative,Some college,,White,,Somewhat Approve,No,Yes,No,Yes,No,Yes,Pro-life,No,DK/REF,Behave no differently,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Yes
Female,19,18-24,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Yes,Yes,No,No,"Yes, somewhat religious",No,Pro-Choice,No,No,Behave no differently,Somewhat Agree,Strongly Disagree,Somewhat Disagree,No
Male,58,55-64,Independent,Conservative,Some college,,White,,Somewhat Approve,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-life,DK/REF,No,Behave no differently,DK/REF,Strongly Agree,DK/REF,Yes
Male,53,45-54,DK/REF,Moderate,College degree,,White,,Strongly Disapprove,No,No,No,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Agree,Strongly Agree,No
Male,68,65+,DK/REF,DK/REF,College degree,,DK/REF,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF
Female,77,65+,Republican,Moderate,High school or less,,White,,DK/REF,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-Choice,Yes,DK/REF,Less Willing,Strongly Agree,Strongly Disagree,Strongly Disagree,No
Female,18,18-24,Independent,Liberal,Some college,,White,,Strongly Disapprove,Yes,No,No,No,No,Yes,Pro-Choice,No,No,Less Willing,Strongly Agree,Strongly Disagree,Strongly Agree,No
Female,51,45-54,DK/REF,Moderate,High school or less,,White,,Strongly Approve,Yes,No,No,No,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,50,45-54,Independent,Conservative,Graduate degree,,White,,Strongly Approve,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,DK/REF,DK/REF,Less Willing,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
Male,48,45-54,Independent,Liberal,Some college,,White,,Somewhat Disapprove,No,No,No,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,No,Behave no differently,Somewhat Agree,Somewhat Disagree,Somewhat Agree,No
Female,79,65+,Republican,Conservative,Some college,,White,,Strongly Approve,No,Yes,Yes,Yes,"Yes, very religious",No,Pro-life,Yes,DK/REF,DK/REF,Strongly Disagree,Strongly Agree,Strongly Disagree,DK/REF
Male,24,18-24,Democrat,Moderate,High school or less,,Latino,,Strongly Approve,No,No,No,No,"Yes, very religious",No,Pro-life,No,No,Behave no differently,Strongly Agree,Strongly Agree,Strongly Disagree,No
Male,60,55-64,Independent,Liberal,College degree,,White,,Strongly Disapprove,Yes,No,No,No,"Yes, somewhat religious",Yes,Pro-Choice,Yes,No,Less Willing,Strongly Agree,Strongly Disagree,Somewhat Agree,No
Male,45,45-54,Independent,Moderate,Some college,,White,,Neither approve nor disapprove,No,No,No,No,"Yes, somewhat religious",Yes,Pro-life,No,No,Behave no differently,Somewhat Agree,Somewhat Agree,Somewhat Agree,Yes
Male,37,35-44,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,Yes,Less Willing,Somewhat Agree,Strongly Agree,Strongly Disagree,Yes
Male,30,25-34,Independent,Moderate,Some college,,White,,Strongly Disapprove,No,No,No,Yes,No,Yes,Pro-Choice,No,Yes,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,No
Male,40,35-44,Democrat,Moderate,College degree,,Asian,,Strongly Disapprove,Yes,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,No
Female,37,35-44,Democrat,DK/REF,Some college,,Black,,Strongly Disapprove,Yes,No,No,Yes,"Yes, very religious",Yes,Pro-Choice,No,No,Less Willing,Strongly Agree,Somewhat Agree,Strongly Agree,Yes
Female,56,55-64,Republican,Moderate,College degree,,Latino,,Somewhat Approve,No,No,Yes,No,"Yes, somewhat religious",No,Pro-Choice,No,Yes,More Willing,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Female,51,45-54,Republican,Conservative,High school or less,,White,,Neither approve nor disapprove,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Behave no differently,Somewhat Disagree,Strongly Agree,Strongly Disagree,No
Female,27,25-34,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,No,No,Behave no differently,Strongly Disagree,Strongly Agree,Strongly Disagree,No
Male,29,25-34,DK/REF,Liberal,Some college,,White,,Neither approve nor disapprove,No,No,No,Yes,No,No,DK/REF,No,No,Less Willing,Strongly Agree,Strongly Agree,Strongly Agree,Yes
Female,38,35-44,Independent,Liberal,Some college,,White,,Strongly Disapprove,No,No,No,Yes,No,No,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,No
Female,34,25-34,Independent,Moderate,College degree,,Asian,,Neither approve nor disapprove,No,No,No,No,No,No,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Agree,No
Male,42,35-44,Independent,Moderate,Graduate degree,,Asian,,Neither approve nor disapprove,Yes,No,Yes,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,Yes,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,No
Female,61,55-64,Independent,Moderate,Some college,,White,,Somewhat Approve,No,No,No,No,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Female,41,35-44,Democrat,Moderate,Some college,,White,,Strongly Disapprove,No,Yes,No,Yes,"Yes, very religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Agree,No
Male,28,25-34,Republican,Conservative,High school or less,,White,,Strongly Approve,No,Yes,No,Yes,No,Yes,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Agree,Yes
Female,35,35-44,Independent,Liberal,College degree,,DK/REF,,Strongly Disapprove,No,No,No,Yes,"Yes, somewhat religious",No,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,29,25-34,Democrat,Moderate,Graduate degree,,White,,Neither approve nor disapprove,No,No,No,Yes,No,Yes,Pro-Choice,No,DK/REF,Behave no differently,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Yes
Female,38,35-44,Independent,Moderate,College degree,,White,,Strongly Disapprove,Yes,No,No,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,33,25-34,DK/REF,Moderate,College degree,,White,,Strongly Disapprove,Yes,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Somewhat Agree,Somewhat Agree,Somewhat Agree,No
Female,67,65+,Republican,Conservative,College degree,,White,,Somewhat Approve,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,Yes,Behave no differently,Somewhat Disagree,Strongly Agree,Strongly Disagree,No
Male,38,35-44,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,Yes,No,DK/REF,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,DK/REF,Somewhat Agree,DK/REF
Other,78,65+,Republican,Moderate,College degree,,Black,,Strongly Approve,No,No,No,No,"Yes, very religious",No,Pro-life,Yes,DK/REF,DK/REF,Strongly Disagree,Strongly Agree,Strongly Agree,Yes
Female,59,55-64,Democrat,Conservative,High school or less,,Black,,Strongly Disapprove,Yes,No,No,No,"Yes, very religious",Yes,Pro-Choice,No,No,Behave no differently,Somewhat Agree,Somewhat Agree,Somewhat Agree,No
Male,35,35-44,Democrat,Conservative,High school or less,,White,,Strongly Approve,No,Yes,Yes,DK/REF,"Yes, very religious",No,Pro-life,Yes,DK/REF,DK/REF,DK/REF,Strongly Agree,DK/REF,Yes
Female,37,35-44,Independent,Liberal,Some college,,White,,Strongly Disapprove,No,No,No,No,"Yes, very religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,86,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,No,Yes,Yes,No,"Yes, very religious",No,Pro-Choice,No,No,DK/REF,Somewhat Disagree,Strongly Agree,Somewhat Agree,No
Female,77,65+,Republican,Conservative,Graduate degree,,White,,Strongly Approve,No,Yes,Yes,Yes,DK/REF,Yes,Pro-life,Yes,Yes,Behave no differently,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
Male,19,18-24,Independent,Conservative,High school or less,,White,,Neither approve nor disapprove,No,No,Yes,No,No,Yes,Pro-Choice,No,No,Behave no differently,Somewhat Agree,Somewhat Agree,Somewhat Disagree,No
Male,44,35-44,Democrat,Moderate,College degree,,White,,Strongly Disapprove,No,Yes,No,No,No,Yes,Pro-Choice,No,No,Behave no differently,Somewhat Agree,Strongly Disagree,Strongly Agree,No
Female,36,35-44,Republican,Moderate,College degree,,White,,Neither approve nor disapprove,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,Yes
Male,40,35-44,Republican,Conservative,College degree,,White,,Neither approve nor disapprove,No,Yes,Yes,DK/REF,"Yes, very religious",No,Pro-life,Yes,DK/REF,Less Willing,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Yes
Female,30,25-34,Independent,Liberal,Some college,,White,,Strongly Disapprove,No,Yes,No,No,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,No
Female,40,35-44,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,Yes,Yes,No,No,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,No
Female,57,55-64,Independent,Conservative,College degree,,Black,,Strongly Approve,No,Yes,Yes,Yes,DK/REF,No,Pro-life,Yes,No,Behave no differently,Strongly Disagree,Strongly Agree,Somewhat Disagree,Yes
Female,38,35-44,Republican,Liberal,Graduate degree,,White,,Neither approve nor disapprove,No,Yes,Yes,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Female,45,45-54,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Yes,No,No,Yes,No,Yes,Pro-life,Yes,No,Behave no differently,Strongly Agree,Strongly Agree,Strongly Disagree,No
Female,37,35-44,Independent,Moderate,Some college,,White,,Somewhat Approve,No,Yes,No,No,No,No,Pro-Choice,No,No,Behave no differently,Somewhat Agree,Somewhat Agree,Strongly Agree,Yes
Male,75,65+,Republican,Conservative,Some college,,White,,Strongly Approve,No,Yes,No,No,"Yes, somewhat religious",Yes,Pro-Choice,No,No,More Willing,Strongly Agree,Strongly Agree,Somewhat Agree,Yes
Female,36,35-44,Republican,Moderate,College degree,,White,,Neither approve nor disapprove,Yes,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Less Willing,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
Female,36,35-44,Independent,DK/REF,College degree,,Other,Native Hawaiian,Neither approve nor disapprove,Yes,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-Choice,Yes,DK/REF,Behave no differently,Strongly Agree,Strongly Agree,Strongly Disagree,DK/REF
Male,19,18-24,Independent,Liberal,Some college,,Black,,Strongly Disapprove,Yes,No,No,Yes,No,No,Pro-life,No,No,Less Willing,Strongly Agree,Strongly Disagree,Strongly Agree,No
Female,36,35-44,DK/REF,Moderate,Graduate degree,,White,,Strongly Disapprove,No,Yes,No,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Somewhat Agree,Strongly Disagree,Strongly Agree,No
Male,30,25-34,DK/REF,DK/REF,Graduate degree,,Asian,,Strongly Disapprove,No,No,No,No,No,Yes,Pro-life,No,Yes,Less Willing,Strongly Agree,Strongly Agree,Strongly Agree,Yes
Male,68,65+,Independent,Conservative,High school or less,,Asian,,Strongly Disapprove,No,No,No,Yes,"Yes, very religious",No,Pro-Choice,No,Yes,More Willing,Strongly Agree,Strongly Agree,Strongly Agree,No
Female,43,35-44,DK/REF,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Yes,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Agree,Yes
Female,30,25-34,Republican,Conservative,Some college,,White,,Neither approve nor disapprove,Yes,Yes,Yes,No,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Less Willing,Somewhat Disagree,Strongly Agree,Strongly Disagree,Yes
Female,36,35-44,Republican,Moderate,College degree,,White,,Strongly Approve,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Less Willing,Somewhat Agree,Strongly Agree,Somewhat Disagree,Yes
Male,44,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,No,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,28,25-34,Independent,DK/REF,Some college,,White,,Neither approve nor disapprove,No,Yes,Yes,No,"Yes, somewhat religious",Yes,Pro-Choice,Yes,No,Less Willing,Somewhat Agree,Somewhat Disagree,Strongly Agree,Yes
Female,29,25-34,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,No,No,No,No,"Yes, somewhat religious",No,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,34,25-34,DK/REF,DK/REF,College degree,,White,,Strongly Disapprove,Yes,DK/REF,No,DK/REF,No,Yes,DK/REF,DK/REF,DK/REF,DK/REF,Somewhat Agree,DK/REF,DK/REF,DK/REF
Female,33,25-34,Democrat,Moderate,College degree,,White,,Strongly Disapprove,No,Yes,No,Yes,"Yes, very religious",Yes,Pro-Choice,DK/REF,DK/REF,Behave no differently,Strongly Agree,Somewhat Agree,Somewhat Disagree,Yes
Male,22,18-24,Independent,Conservative,Some college,,White,,Somewhat Approve,No,Yes,No,Yes,No,Yes,Pro-life,No,No,Behave no differently,Somewhat Agree,Somewhat Agree,Somewhat Agree,Yes
Male,35,35-44,Democrat,Conservative,College degree,,Black,,Somewhat Disapprove,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-life,No,No,Behave no differently,Strongly Agree,Strongly Agree,Somewhat Agree,Yes
Male,60,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,Yes,Less Willing,Strongly Agree,Strongly Agree,Somewhat Disagree,Yes
Female,27,25-34,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Yes,No,No,No,DK/REF,Pro-Choice,Yes,DK/REF,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Disagree,No
Male,41,35-44,Republican,Conservative,College degree,,White,,Somewhat Approve,No,No,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,DK/REF,Behave no differently,Strongly Agree,Strongly Agree,Somewhat Agree,Yes
Female,45,45-54,Independent,Moderate,High school or less,,Latino,,Strongly Disapprove,Yes,Yes,No,No,"Yes, somewhat religious",No,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Strongly Agree,Strongly Disagree,DK/REF
Male,41,35-44,Democrat,Moderate,High school or less,,White,,Somewhat Disapprove,No,No,No,No,"Yes, somewhat religious",No,DK/REF,No,No,Behave no differently,Somewhat Agree,Strongly Agree,Strongly Agree,No
Female,47,45-54,DK/REF,Moderate,Some college,,White,,Neither approve nor disapprove,Yes,Yes,No,Yes,"Yes, very religious",Yes,DK/REF,Yes,No,Behave no differently,DK/REF,Strongly Agree,Strongly Disagree,No
Female,29,25-34,Republican,Conservative,Some college,,White,,Strongly Approve,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,No,Less Willing,Strongly Disagree,Strongly Agree,Somewhat Disagree,Yes
Female,42,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,No,Yes,Yes,No,"Yes, somewhat religious",Yes,Pro-Choice,Yes,DK/REF,More Willing,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Yes
Female,29,25-34,Republican,Conservative,College degree,,White,,Strongly Approve,Yes,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,Yes,Less Willing,Strongly Disagree,Strongly Agree,Strongly Disagree,No
Female,58,55-64,Democrat,Moderate,High school or less,,Latino,,Strongly Disapprove,No,Yes,No,Yes,"Yes, very religious",No,Pro-life,No,No,Less Willing,Somewhat Agree,Strongly Agree,Strongly Disagree,No
Male,32,25-34,Democrat,DK/REF,High school or less,,White,,Strongly Disapprove,Yes,Yes,Yes,Yes,No,Yes,Pro-life,No,Yes,Less Willing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Yes
Female,37,35-44,Democrat,Moderate,Some college,,Black,,Neither approve nor disapprove,Yes,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,No,Behave no differently,Strongly Agree,Strongly Agree,Strongly Disagree,No
Female,38,35-44,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,No,No,Behave no differently,Somewhat Agree,Strongly Agree,Somewhat Agree,Yes
Male,33,25-34,Republican,Moderate,High school or less,,Black,,Strongly Approve,Yes,Yes,No,Yes,"Yes, very religious",Yes,Pro-life,No,No,Behave no differently,Strongly Agree,Strongly Agree,Somewhat Agree,Yes
Female,39,35-44,Republican,Conservative,Some college,,White,,DK/REF,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Less Willing,DK/REF,Strongly Agree,Strongly Disagree,Yes
Male,18,18-24,Independent,Moderate,Some college,,White,,Somewhat Disapprove,No,No,No,Yes,No,Yes,Pro-Choice,DK/REF,Yes,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,Yes
Male,38,35-44,DK/REF,DK/REF,Graduate degree,,Latino,,DK/REF,Yes,Yes,Yes,Yes,No,Yes,Pro-life,DK/REF,Yes,Behave no differently,Somewhat Agree,Strongly Agree,Strongly Disagree,Yes
Male,25,25-34,DK/REF,DK/REF,College degree,,DK/REF,,DK/REF,DK/REF,DK/REF,Yes,Yes,No,No,Pro-life,No,No,Behave no differently,Somewhat Agree,Strongly Agree,Strongly Agree,No
Male,32,25-34,DK/REF,DK/REF,Some college,,DK/REF,,Strongly Approve,DK/REF,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-Choice,DK/REF,DK/REF,DK/REF,Somewhat Agree,DK/REF,DK/REF,No
Male,23,18-24,Democrat,Liberal,Some college,,Latino,,Somewhat Disapprove,No,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,Yes,Behave no differently,Strongly Agree,Somewhat Agree,Strongly Agree,No
Female,30,25-34,DK/REF,Moderate,College degree,,Black,,Strongly Disapprove,Yes,Yes,No,Yes,No,No,Pro-life,No,DK/REF,Less Willing,Strongly Agree,Somewhat Disagree,Strongly Disagree,No
Male,32,25-34,Republican,Conservative,College degree,,White,,Neither approve nor disapprove,Yes,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Behave no differently,Strongly Disagree,Strongly Agree,Somewhat Disagree,No
Male,20,18-24,Independent,Moderate,Some college,,Latino,,Somewhat Disapprove,No,Yes,No,No,"Yes, somewhat religious",Yes,Pro-life,No,DK/REF,Behave no differently,Strongly Agree,Strongly Agree,Somewhat Agree,No
Female,58,55-64,Independent,Moderate,High school or less,,White,,Neither approve nor disapprove,Yes,Yes,No,No,"Yes, very religious",Yes,Pro-Choice,No,No,Less Willing,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Female,32,25-34,Independent,Moderate,College degree,,White,,Strongly Disapprove,No,No,No,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,DK/REF,Strongly Agree,Yes
Male,19,18-24,Independent,Moderate,High school or less,,White,,Somewhat Approve,No,No,No,Yes,No,No,Pro-life,No,No,Behave no differently,Strongly Agree,Somewhat Agree,Somewhat Agree,No
Female,64,55-64,Democrat,DK/REF,High school or less,,White,,Strongly Disapprove,No,Yes,No,Yes,No,Yes,Pro-life,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Disagree,No
Male,72,65+,Independent,Moderate,College degree,,DK/REF,,Strongly Approve,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,No,DK/REF,Behave no differently,Somewhat Disagree,Somewhat Agree,DK/REF,Yes
Female,25,25-34,Republican,Liberal,Some college,,White,,Strongly Approve,No,Yes,No,No,"Yes, very religious",Yes,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,Yes
Female,56,55-64,Republican,Liberal,Some college,,White,,Neither approve nor disapprove,Yes,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,Yes,Less Willing,Somewhat Disagree,Strongly Agree,Somewhat Disagree,No
Female,47,45-54,Independent,DK/REF,College degree,,White,,Somewhat Approve,No,Yes,No,No,"Yes, somewhat religious",No,Pro-Choice,DK/REF,DK/REF,Behave no differently,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Yes
Female,40,35-44,Republican,Conservative,College degree,,White,,Neither approve nor disapprove,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,DK/REF,DK/REF,Behave no differently,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
Male,34,25-34,Republican,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Yes,Yes,No,Yes,"Yes, very religious",Yes,Pro-life,No,No,Behave no differently,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Yes
Male,36,35-44,Republican,Conservative,Some college,,White,,Strongly Approve,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-life,No,DK/REF,Behave no differently,Somewhat Agree,Somewhat Agree,Somewhat Agree,Yes
Male,61,55-64,Independent,Conservative,Graduate degree,,White,,Somewhat Approve,No,Yes,No,No,No,No,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Agree,Yes
Male,43,35-44,DK/REF,DK/REF,College degree,,White,,Strongly Disapprove,No,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,No
